date,competitor,channel,activity_type,impact_level,details
2020-01-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2020-01-16,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-01-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2020-01-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2020-01-25,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2020-01-26,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2020-01-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 11% vs prior week
2020-02-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2020-02-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2020-02-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2020-02-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2020-02-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 17% vs prior week
2020-02-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2020-02-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2020-02-27,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2020-02-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2020-02-29,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-03-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 13% vs prior week
2020-03-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2020-03-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2020-03-22,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2020-04-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2020-04-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2020-04-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2020-04-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2020-04-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2020-04-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2020-04-30,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-05-04,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-05-09,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2020-05-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2020-05-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2020-05-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2020-05-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2020-05-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2020-06-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 20% vs prior week
2020-06-09,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-06-13,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2020-06-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2020-07-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2020-07-06,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2020-07-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2020-07-18,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2020-07-28,BrandX,google_search,aggressive_bidding,medium,Impression share lost 14% vs prior week
2020-07-29,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-07-30,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2020-07-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2020-08-01,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2020-08-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2020-08-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2020-08-07,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-08-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2020-08-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2020-08-15,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2020-08-19,BrandX,google_search,aggressive_bidding,medium,Impression share lost 12% vs prior week
2020-09-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2020-09-06,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2020-09-10,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2020-09-12,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2020-09-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2020-09-17,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-09-19,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2020-09-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 8% vs prior week
2020-09-27,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2020-10-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2020-10-02,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2020-10-03,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-10-04,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2020-10-05,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-06,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-07,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-08,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2020-10-08,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2020-10-09,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-10,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2020-10-12,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-13,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2020-10-16,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-18,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-19,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-21,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-23,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-24,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-26,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-27,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-10-28,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2020-10-28,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-10-31,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2020-11-02,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-03,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-11-04,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-07,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-09,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2020-11-10,Political PACs,programmatic,political_ad_competition,high,Political ad spend elevating CPMs 30-50%
2020-11-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2020-11-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2020-11-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2020-11-29,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2020-11-29,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2020-12-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2020-12-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2020-12-21,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2020-12-21,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2020-12-27,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2020-12-27,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2020-12-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2020-12-31,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2021-01-02,BrandX,google_search,aggressive_bidding,medium,Impression share lost 23% vs prior week
2021-01-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2021-01-05,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-01-07,BrandX,google_search,aggressive_bidding,medium,Impression share lost 19% vs prior week
2021-01-12,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2021-01-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 25% vs prior week
2021-01-20,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
