incident_id,date,channel,anomaly_type,severity,root_cause,resolution,similarity_score
INC-2020-238,2020-02-27,meta_ads,Low CTR,medium,"iOS 17 link tracking stripping UTMs, inflating CPC in reporting.",Re-uploaded video assets and cleared cache.,0.91
INC-2020-286,2020-03-06,meta_ads,Low CTR,high,Audience saturation in 'Lookalike 1%' audience.,Refreshed creative assets and implemented frequency capping.,0.82
INC-2020-301,2020-03-15,meta_ads,Zero Conversions,medium,"Server-side API token expired, causing event loss.",Generated new CAPI token and updated server config.,0.87
INC-2020-195,2020-03-24,influencer_campaigns,Fraud Alert,medium,Creator's audience audit revealed 60% fake followers.,Terminated contract for breach of authenticity clause.,0.79
INC-2020-235,2020-03-25,podcast,Low Engagement,high,Host read script was truncated during recording.,Created vanity URL redirect to fix promo code error.,0.94
INC-2020-222,2020-03-27,direct_mail,Response Rate Drop,critical,Mailing list had high percentage of outdated addresses.,Ran NCOA update on mailing list before next drop.,0.93
INC-2020-242,2020-04-27,linkedin_ads,High CPL,high,LinkedIn Audience Network delivering low-quality clicks.,Disabled Audience Network to focus on feed placements.,0.85
INC-2020-212,2020-04-29,linkedin_ads,High CPL,critical,LinkedIn Audience Network delivering low-quality clicks.,Disabled Audience Network to focus on feed placements.,0.84
INC-2020-183,2020-05-09,google_search,CPA Spike,medium,Q4 seasonal competition drove up CPCs by 35%.,Increased brand CPC bids by 20% and filed trademark complaint.,0.81
INC-2020-292,2020-05-31,direct_mail,Response Rate Drop,medium,Mail arriving after crisis resolved; donor motivation had faded.,Added real-time crisis messaging insert to in-flight mail pieces.,0.83
INC-2020-306,2020-06-20,meta_ads,Low CTR,high,"iOS 17 link tracking stripping UTMs, inflating CPC in reporting.",Refreshed creative assets and implemented frequency capping.,0.86
INC-2020-276,2020-07-03,google_pmax,Spend Surge,critical,Asset group rotation optimized for volume over value during crisis period.,Added placement exclusions and tightened location settings.,0.81
INC-2020-304,2020-07-10,google_search,Donation Surge Mis-Attribution,critical,BLM fundraising wave caused organic/paid bleed in attribution.,Added 'crisis_period' annotation flag to all reports during surge.,0.92
INC-2020-115,2020-07-12,direct_mail,Response Rate Drop,medium,Postal delays during holiday peak caused late delivery.,A/B tested new envelope designs with stronger urgency hook.,0.81
INC-2020-305,2020-07-25,meta_ads,Low CTR,high,Broken video asset rendering as black screen in feed.,Re-uploaded video assets and cleared cache.,0.94
INC-2020-100,2020-07-30,google_search,Donation Surge Mis-Attribution,medium,Ukraine crisis donation spike misattributed to new brand campaign.,Created separate campaign for crisis keywords to isolate performance.,0.82
INC-2020-317,2020-08-24,linkedin_ads,High CPL,medium,LinkedIn Audience Network delivering low-quality clicks.,Shifted budget to Q3/Q4 when corporate giving peaks.,0.92
INC-2020-206,2020-09-02,google_pmax,Tracking Break During COVID,medium,GA4 migration during Q4 2021 caused 10-day data gap.,Re-deployed tags via server-side GTM with 24h monitoring.,0.82
INC-2020-214,2020-09-17,direct_mail,Response Rate Drop,critical,Mail arriving after crisis resolved; donor motivation had faded.,A/B tested new envelope designs with stronger urgency hook.,0.86
INC-2020-294,2020-09-17,ooh,Low Impressions,medium,Geofencing radius set too small for attribution.,Shifted OOH budget to digital for duration of lockdown.,0.73
INC-2020-245,2020-10-26,influencer_campaigns,Fraud Alert,high,Creator engagement rate 0.01% despite 1M followers.,Terminated contract for breach of authenticity clause.,0.78
INC-2020-231,2020-12-02,ooh,Low Impressions,high,Construction blocked visibility of 3 billboard locations.,Received credit for non-functional screen days.,0.83
INC-2020-315,2020-12-13,google_pmax,Spend Surge,medium,Uncapped budget allowed PMax to spend 300% of daily average.,Implemented strict daily spend caps and tROAS targets.,0.95
INC-2020-107,2020-12-23,events,Events Channel Collapse,high,COVID lockdown: all in-person fundraising events cancelled.,Switched virtual platform from Zoom to Hopin with backup stream.,0.77
INC-2020-127,2020-12-23,events,Events Channel Collapse,medium,Virtual event platform technical failure caused 80% drop-off.,Reallocated events budget to digital channels for Q2 2020.,0.78
INC-2020-134,2020-12-28,meta_ads,Budget Misallocation During Crisis,critical,Budget auto-reallocation shifted funds away from best-performing crisis campaign.,Submitted account verification for fundraising allowlist.,0.93
INC-2021-271,2021-01-04,google_pmax,Tracking Break During COVID,critical,iOS 14.5 release coincided with peak COVID donation period; masked conversions.,Backfilled conversions using order database export.,0.75
INC-2021-272,2021-01-15,google_pmax,Tracking Break During COVID,medium,Server migration during COVID lockdown caused 3-day tag firing failure.,Ran parallel UA/GA4 for 60 days to validate data parity.,0.94
INC-2021-181,2021-01-29,direct_mail,Response Rate Drop,medium,Mailing list had high percentage of outdated addresses.,Added real-time crisis messaging insert to in-flight mail pieces.,0.75
INC-2021-159,2021-01-30,google_search,CPA Spike,high,Competitor 'BrandX' aggressive bidding on donation/fundraising keywords.,Paused broad match and switched to exact/phrase during election.,0.85
INC-2021-308,2021-02-10,programmatic,IVT / Bot Traffic,medium,DSP algorithm expanded to new low-quality SSP partners.,Implemented post-bid IVT scoring with automatic credit back.,0.78
INC-2021-179,2021-02-11,google_search,CPA Spike,high,Smart bidding algorithm overcorrected after iOS privacy changes.,Increased brand CPC bids by 20% and filed trademark complaint.,0.82
INC-2021-300,2021-02-17,programmatic,IVT / Bot Traffic,medium,Bot traffic spike: IVT rate jumped from 4% to 48% in 72 hours.,Added IP exclusion lists for known data center ranges.,0.76
INC-2021-150,2021-02-23,affiliate,Conversion Drop,critical,Coupon code leakage to discount aggregator sites lowered AOV.,Invalidated leaked codes and issued exclusive partner links.,0.76
INC-2021-172,2021-03-06,programmatic,IVT / Bot Traffic,critical,Bot traffic spike: IVT rate jumped from 4% to 48% in 72 hours.,Added IP exclusion lists for known data center ranges.,0.86
INC-2021-282,2021-03-11,influencer_campaigns,Fraud Alert,high,Creator's audience audit revealed 60% fake followers.,Terminated contract for breach of authenticity clause.,0.8
INC-2021-108,2021-03-23,google_pmax,Spend Surge,high,Algorithm aggressively targeted mobile app placements.,Implemented strict daily spend caps and tROAS targets.,0.87
INC-2021-156,2021-04-02,google_pmax,Tracking Break During COVID,medium,Server migration during COVID lockdown caused 3-day tag firing failure.,Re-deployed tags via server-side GTM with 24h monitoring.,0.89
INC-2021-220,2021-04-07,google_search,Donation Surge Mis-Attribution,medium,BLM fundraising wave caused organic/paid bleed in attribution.,Created separate campaign for crisis keywords to isolate performance.,0.87
INC-2021-193,2021-04-13,direct_mail,Response Rate Drop,high,Creative execution (envelope design) performed poorly vs control.,Shifted future mailings to avoid peak postal periods.,0.83
INC-2021-154,2021-04-30,google_search,CPA Spike,critical,New entrant bidding heavily on our exact match keywords.,Launched defensive brand campaign with aggressive Top IS target.,0.74
INC-2021-239,2021-04-30,programmatic,IVT / Bot Traffic,high,DSP algorithm expanded to new low-quality SSP partners.,Implemented post-bid IVT scoring with automatic credit back.,0.75
INC-2021-173,2021-05-03,google_pmax,Spend Surge,medium,Algorithm aggressively targeted mobile app placements.,Added negative IP lists and enabled click fraud protection.,0.87
INC-2021-268,2021-05-08,linkedin_ads,High CPL,medium,LinkedIn Audience Network delivering low-quality clicks.,Shifted budget to Q3/Q4 when corporate giving peaks.,0.88
INC-2021-303,2021-05-09,podcast,Low Engagement,medium,Promo code mentioned on air didn't match backend system.,Rotated to new podcast network with fresher audience.,0.95
INC-2021-224,2021-05-14,google_search,Donation Surge Mis-Attribution,medium,Turkey earthquake search surge conflated with paid campaign performance.,Created separate campaign for crisis keywords to isolate performance.,0.7
INC-2021-217,2021-05-15,podcast,Low Engagement,critical,Episode released on holiday weekend with low downloads.,Shifted future ad buys to mid-week release schedules.,0.88
INC-2021-175,2021-05-17,meta_ads,Budget Misallocation During Crisis,critical,MMM model recommended reducing Meta spend during Ukraine period (model hadn't seen crisis data).,Submitted account verification for fundraising allowlist.,0.82
INC-2021-309,2021-05-18,linkedin_ads,High CPL,medium,"Job title targeting too broad, capturing entry-level roles.",Shifted budget to Q3/Q4 when corporate giving peaks.,0.89
INC-2021-167,2021-05-21,ooh,Low Impressions,critical,COVID lockdown: zero foot traffic at all OOH locations.,Negotiated replacement locations with vendor.,0.73
INC-2021-139,2021-05-23,programmatic,IVT / Bot Traffic,medium,Invalid traffic from data center IPs in non-target geos.,Implemented post-bid IVT scoring with automatic credit back.,0.8
INC-2021-152,2021-06-21,meta_ads,Low CTR,medium,Creative fatigue: ad frequency exceeded 8.0.,Re-uploaded video assets and cleared cache.,0.78
INC-2021-269,2021-06-21,direct_mail,Response Rate Drop,medium,Creative execution (envelope design) performed poorly vs control.,Ran NCOA update on mailing list before next drop.,0.83
INC-2021-144,2021-07-08,events,Events Channel Collapse,high,Venue capacity restrictions limited event ROI by 60%.,Reallocated events budget to digital channels for Q2 2020.,0.77
INC-2021-230,2021-07-11,events,Events Channel Collapse,high,COVID lockdown: all in-person fundraising events cancelled.,Switched virtual platform from Zoom to Hopin with backup stream.,0.86
INC-2021-153,2021-07-23,google_search,Donation Surge Mis-Attribution,high,Crisis-driven direct traffic inflating conversion rates vs actual ad performance.,Paused paid search bidding during organic surge to reduce wasted spend.,0.88
INC-2021-250,2021-08-03,google_pmax,Tracking Break During COVID,medium,iOS 14.5 release coincided with peak COVID donation period; masked conversions.,Re-deployed tags via server-side GTM with 24h monitoring.,0.71
INC-2021-221,2021-08-16,influencer_campaigns,Fraud Alert,critical,Sudden spike in followers from non-target geo (click farm).,Required audience demographics report before contract signing.,0.79
INC-2021-121,2021-08-18,programmatic,IVT / Bot Traffic,high,Bot traffic spike: IVT rate jumped from 4% to 48% in 72 hours.,Added IP exclusion lists for known data center ranges.,0.7
INC-2021-288,2021-08-29,events,Events Channel Collapse,high,Virtual event platform technical failure caused 80% drop-off.,Switched virtual platform from Zoom to Hopin with backup stream.,0.73
INC-2021-237,2021-09-03,influencer_campaigns,Fraud Alert,high,Creator engagement rate 0.01% despite 1M followers.,Implemented Modash/HypeAuditor vetting before next hire.,0.94
INC-2021-109,2021-09-08,programmatic,IVT / Bot Traffic,critical,DSP algorithm expanded to new low-quality SSP partners.,Implemented post-bid IVT scoring with automatic credit back.,0.71
INC-2021-207,2021-09-08,podcast,Low Engagement,medium,Episode released on holiday weekend with low downloads.,Rotated to new podcast network with fresher audience.,0.78
INC-2021-312,2021-09-12,podcast,Low Engagement,high,Podcast audience overlap too high with existing donors; no new reach.,Created vanity URL redirect to fix promo code error.,0.9
INC-2021-273,2021-09-27,podcast,Low Engagement,medium,Podcast audience overlap too high with existing donors; no new reach.,Requested re-read/make-good for next episode.,0.82
INC-2021-228,2021-10-18,meta_ads,Low CTR,medium,Headline 'Free Shipping' no longer resonating post-COVID.,Refreshed creative assets and implemented frequency capping.,0.81
INC-2021-116,2021-10-20,affiliate,Conversion Drop,high,Fraudulent leads detected from new sub-affiliate network.,Invalidated leaked codes and issued exclusive partner links.,0.91
INC-2021-117,2021-10-22,linkedin_ads,High CPL,high,"Job title targeting too broad, capturing entry-level roles.",Expanded audience using lookalikes of corporate donor list.,0.95
INC-2021-185,2021-11-03,direct_mail,Response Rate Drop,high,Mail arriving after crisis resolved; donor motivation had faded.,Added real-time crisis messaging insert to in-flight mail pieces.,0.78
INC-2021-174,2021-11-22,meta_ads,Low CTR,high,Creative fatigue: ad frequency exceeded 8.0.,Tested new emotional hook messaging aligned to active crisis.,0.78
INC-2021-114,2021-12-04,direct_mail,Response Rate Drop,medium,Creative execution (envelope design) performed poorly vs control.,Shifted future mailings to avoid peak postal periods.,0.79
INC-2021-283,2021-12-04,google_search,CPA Spike,medium,Smart bidding algorithm overcorrected after iOS privacy changes.,Temporarily increased budget caps to capture holiday demand.,0.87
INC-2021-135,2021-12-17,google_pmax,Tracking Break During COVID,critical,GA4 migration during Q4 2021 caused 10-day data gap.,Backfilled conversions using order database export.,0.84
INC-2022-180,2022-01-03,google_search,CPA Spike,critical,Q4 seasonal competition drove up CPCs by 35%.,Paused broad match and switched to exact/phrase during election.,0.78
INC-2022-248,2022-01-04,meta_ads,Zero Conversions,critical,"Server-side API token expired, causing event loss.",Restored previous GTM version and verified checkout firing.,0.82
INC-2022-279,2022-01-16,affiliate,Conversion Drop,high,Sub-affiliate network injecting cookie stuffing on checkout.,Renegotiated placement fee with top partner.,0.8
